iter	Passed	Remaining
0	0	809
1	1	712
2	2	687
3	2	736
4	3	729
5	4	713
6	4	697
7	5	689
8	6	684
9	6	670
10	7	660
11	7	653
12	8	654
13	9	664
14	10	661
15	10	657
16	11	653
17	11	650
18	12	644
19	13	640
20	13	636
21	14	630
22	14	627
23	15	632
24	16	631
25	16	626
26	17	619
27	17	617
28	18	612
29	18	608
30	19	605
31	19	601
32	20	598
33	20	595
34	21	595
35	22	597
36	22	597
37	23	595
38	24	592
39	24	589
40	25	586
41	25	584
42	26	582
43	26	580
44	27	576
45	27	575
46	28	576
47	28	574
48	29	571
49	29	568
50	30	565
51	30	562
52	31	560
53	31	557
54	32	555
55	32	553
56	33	551
57	33	550
58	34	550
59	35	549
60	35	547
61	36	545
62	36	544
63	37	542
64	37	540
65	38	538
66	38	536
67	38	534
68	39	532
69	39	529
70	40	529
71	41	530
72	41	529
73	42	529
74	42	528
75	43	527
76	43	525
77	44	523
78	44	522
79	45	520
80	45	518
81	46	516
82	46	513
83	47	514
84	47	513
85	48	512
86	48	511
87	49	510
88	49	509
89	50	507
90	50	506
91	51	506
92	52	507
93	52	506
94	53	507
95	53	506
96	54	506
97	55	506
98	55	506
99	56	505
100	56	504
101	57	503
102	57	501
103	58	499
104	58	498
105	59	498
106	59	498
107	60	497
108	60	497
109	61	496
110	61	494
111	62	493
112	62	492
113	63	490
114	63	489
115	64	488
116	64	486
117	64	485
118	65	485
119	66	484
120	66	484
121	67	482
122	67	481
123	68	480
124	68	479
125	69	478
126	69	476
127	69	475
128	70	474
129	70	473
130	71	472
131	71	472
132	72	471
133	72	470
134	73	470
135	73	469
136	74	468
137	74	467
138	75	466
139	75	465
140	76	464
141	76	462
142	76	461
143	77	460
144	78	461
145	78	461
146	79	460
147	79	459
148	80	458
149	80	457
150	81	456
151	81	455
152	82	455
153	82	453
154	83	452
155	83	452
156	84	451
157	84	452
158	85	452
159	86	452
160	86	451
161	87	450
162	87	449
163	88	448
164	88	448
165	89	447
166	89	446
167	89	445
168	90	445
169	91	445
170	91	445
171	92	445
172	93	446
173	93	446
174	94	445
175	95	445
176	95	444
177	96	444
178	96	444
179	97	443
180	97	443
181	98	442
182	98	441
183	99	440
184	99	440
185	100	439
186	100	438
187	101	437
188	101	436
189	102	436
190	102	435
191	103	435
192	104	435
193	104	435
194	105	435
195	105	434
196	106	434
197	107	433
198	107	432
199	108	432
200	108	431
201	108	430
202	109	430
203	110	429
204	110	429
205	111	428
206	111	427
207	112	427
208	112	426
209	113	425
210	113	424
211	114	423
212	114	423
213	114	422
214	115	421
215	116	421
216	116	420
217	117	420
218	117	420
219	118	420
220	118	419
221	119	418
222	119	417
223	120	417
224	120	416
225	121	415
226	121	415
227	122	415
228	123	414
229	123	413
230	124	413
231	124	412
232	125	411
233	125	410
234	125	410
235	126	409
236	126	408
237	127	407
238	127	407
239	128	406
240	128	406
241	129	405
242	129	404
243	130	404
244	131	403
245	131	402
246	131	402
247	132	401
248	132	400
249	133	399
250	133	399
251	134	398
252	134	398
253	135	397
254	135	397
255	136	396
256	137	396
257	137	395
258	137	394
259	138	393
260	138	393
261	139	392
262	139	391
263	140	391
264	141	391
265	141	390
266	142	390
267	142	389
268	143	388
269	143	387
270	143	387
271	144	386
272	144	385
273	145	384
274	145	384
275	146	383
276	146	382
277	147	382
278	147	382
279	148	381
280	148	380
281	149	380
282	149	379
283	150	379
284	150	378
285	151	377
286	151	377
287	152	376
288	152	375
289	153	375
290	153	375
291	154	374
292	155	374
293	155	374
294	156	373
295	156	372
296	157	372
297	157	371
298	158	370
299	158	370
300	159	369
301	159	369
302	160	368
303	160	368
304	161	367
305	161	367
306	162	366
307	162	365
308	163	365
309	163	364
310	164	363
311	164	363
312	165	362
313	165	361
314	166	361
315	166	361
316	167	360
317	167	360
318	168	359
319	168	359
320	169	358
321	169	357
322	170	357
323	170	356
324	171	355
325	171	355
326	172	354
327	173	354
328	173	354
329	174	353
330	174	353
331	175	353
332	176	352
333	176	352
334	176	351
335	177	350
336	177	350
337	178	349
338	179	349
339	179	348
340	180	348
341	180	347
342	181	346
343	181	346
344	182	345
345	182	344
346	182	344
347	183	343
348	183	343
349	184	342
350	185	342
351	185	341
352	186	341
353	186	340
354	187	339
355	187	339
356	188	338
357	188	338
358	189	337
359	189	336
360	189	336
361	190	335
362	191	335
363	191	334
364	192	334
365	192	333
366	193	333
367	193	332
368	194	331
369	194	331
370	194	330
371	195	329
372	195	329
373	196	328
374	196	328
375	197	327
376	197	327
377	198	326
378	198	325
379	199	325
380	199	324
381	200	324
382	200	323
383	201	322
384	201	322
385	202	321
386	202	320
387	203	320
388	203	319
389	204	319
390	204	318
391	205	318
392	205	317
393	206	317
394	206	316
395	207	316
396	207	315
397	208	314
398	208	314
399	209	313
400	209	313
401	210	312
402	210	312
403	211	311
404	211	310
405	212	310
406	212	309
407	213	309
408	213	308
409	213	307
410	214	307
411	214	306
412	215	306
413	215	305
414	216	305
415	217	304
416	217	304
417	218	303
418	218	303
419	219	302
420	219	301
421	219	301
422	220	300
423	220	300
424	221	299
425	221	298
426	222	298
427	223	298
428	223	297
429	224	297
430	224	296
431	225	295
432	225	295
433	225	294
434	226	294
435	226	293
436	227	292
437	227	292
438	228	291
439	228	291
440	229	290
441	230	290
442	230	290
443	231	289
444	231	289
445	232	288
446	232	288
447	233	287
448	233	286
449	234	286
450	234	285
451	235	285
452	235	284
453	236	284
454	236	283
455	237	283
456	237	282
457	238	282
458	238	281
459	239	280
460	239	280
461	240	279
462	240	279
463	241	278
464	241	278
465	242	277
466	242	277
467	243	276
468	243	276
469	244	275
470	244	274
471	245	274
472	245	273
473	246	273
474	246	272
475	246	271
476	247	271
477	248	270
478	248	270
479	249	269
480	249	269
481	250	268
482	250	268
483	251	267
484	251	267
485	251	266
486	252	265
487	252	265
488	253	264
489	253	264
490	254	263
491	254	263
492	255	262
493	255	262
494	256	261
495	256	261
496	257	260
497	257	259
498	258	259
499	258	258
500	259	258
501	259	257
502	260	257
503	260	256
504	261	256
505	261	255
506	262	254
507	262	254
508	263	253
509	263	253
510	263	252
511	264	252
512	264	251
513	265	250
514	265	250
515	266	249
516	266	249
517	267	248
518	267	248
519	268	247
520	268	247
521	269	246
522	269	246
523	270	245
524	270	244
525	271	244
526	271	243
527	272	243
528	272	242
529	273	242
530	273	241
531	274	241
532	274	240
533	275	240
534	275	239
535	276	239
536	276	238
537	277	238
538	277	237
539	278	236
540	278	236
541	279	235
542	279	235
543	280	235
544	280	234
545	281	234
546	282	233
547	282	233
548	283	232
549	283	231
550	283	231
551	284	230
552	284	230
553	285	229
554	286	229
555	286	228
556	287	228
557	287	227
558	288	227
559	288	226
560	288	226
561	289	225
562	289	225
563	290	224
564	290	223
565	291	223
566	291	222
567	292	222
568	293	221
569	293	221
570	294	220
571	294	220
572	295	219
573	295	219
574	295	218
575	296	218
576	296	217
577	297	217
578	297	216
579	298	216
580	299	215
581	299	215
582	300	214
583	300	214
584	301	213
585	301	213
586	301	212
587	302	211
588	302	211
589	303	210
590	303	210
591	304	209
592	305	209
593	305	208
594	305	208
595	306	207
596	306	207
597	307	206
598	307	206
599	308	205
600	308	205
601	309	204
602	309	203
603	310	203
604	310	202
605	311	202
606	311	201
607	312	201
608	312	200
609	313	200
610	313	199
611	314	199
612	314	198
613	315	198
614	315	197
615	316	197
616	316	196
617	317	196
618	318	195
619	318	195
620	319	194
621	319	194
622	320	193
623	320	193
624	321	192
625	321	192
626	321	191
627	322	190
628	322	190
629	323	189
630	324	189
631	324	189
632	325	188
633	326	188
634	327	188
635	327	187
636	328	187
637	329	186
638	329	186
639	330	185
640	330	185
641	331	184
642	332	184
643	332	183
644	333	183
645	333	182
646	334	182
647	334	181
648	335	181
649	335	180
650	336	180
651	336	179
652	337	179
653	337	178
654	338	178
655	338	177
656	339	177
657	339	176
658	340	176
659	340	175
660	341	175
661	341	174
662	342	174
663	343	173
664	343	173
665	344	172
666	344	172
667	345	171
668	345	171
669	346	170
670	346	169
671	347	169
672	347	168
673	347	168
674	348	167
675	349	167
676	349	166
677	349	166
678	350	165
679	350	165
680	351	164
681	351	164
682	352	163
683	352	163
684	353	162
685	353	161
686	354	161
687	354	160
688	355	160
689	356	159
690	356	159
691	357	158
692	357	158
693	358	157
694	358	157
695	358	156
696	359	156
697	359	155
698	360	155
699	360	154
700	361	154
701	362	153
702	362	153
703	363	152
704	363	152
705	364	151
706	364	151
707	364	150
708	365	149
709	365	149
710	366	148
711	366	148
712	367	147
713	367	147
714	368	146
715	368	146
716	369	145
717	370	145
718	370	144
719	371	144
720	371	143
721	371	143
722	372	142
723	372	142
724	373	141
725	373	141
726	374	140
727	375	140
728	375	139
729	375	139
730	376	138
731	377	138
732	377	137
733	377	136
734	378	136
735	378	135
736	379	135
737	379	134
738	380	134
739	380	133
740	381	133
741	381	132
742	382	132
743	382	131
744	383	131
745	383	130
746	384	130
747	384	129
748	385	129
749	385	128
750	386	128
751	386	127
752	387	127
753	387	126
754	388	126
755	388	125
756	389	124
757	389	124
758	390	123
759	390	123
760	391	122
761	391	122
762	392	121
763	392	121
764	393	120
765	393	120
766	394	119
767	394	119
768	395	118
769	396	118
770	396	117
771	397	117
772	397	116
773	398	116
774	398	115
775	398	115
776	399	114
777	400	114
778	400	113
779	401	113
780	401	112
781	402	112
782	402	111
783	403	111
784	403	110
785	404	110
786	404	109
787	405	109
788	405	108
789	406	108
790	406	107
791	407	107
792	408	106
793	408	105
794	409	105
795	409	104
796	410	104
797	410	103
798	410	103
799	411	102
800	412	102
801	412	101
802	413	101
803	413	100
804	414	100
805	414	99
806	415	99
807	415	98
808	416	98
809	416	97
810	416	97
811	417	96
812	418	96
813	418	95
814	419	95
815	419	94
816	420	94
817	420	93
818	421	93
819	421	92
820	422	92
821	422	91
822	423	91
823	423	90
824	424	90
825	425	89
826	425	89
827	426	88
828	426	88
829	427	87
830	427	86
831	428	86
832	428	85
833	428	85
834	429	84
835	429	84
836	430	83
837	430	83
838	431	82
839	432	82
840	432	81
